,nr_rpk,nr_rpk,nr_rpk,nr_ask,nr_ask,nr_ask
,count,sum,mean,count,sum,mean
nm_empresa,,,,,,
AZUL LINHAS AÉREAS BRASILEIRAS S/A,14943,1531705713,102503.2264605501,14943,2020426449,135208.89038345712
GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),6892,1219640321,176964.64320951828,6892,1385225282,200990.31950087057
TAM LINHAS AÉREAS S.A.,8144,1445463066,177488.0974950884,8144,2029668313,249222.533521611
