,nr_rpk,nr_rpk,nr_rpk
,count,sum,mean
nm_empresa,,,
AZUL LINHAS AÉREAS BRASILEIRAS S/A,14943,1531705713,102503.2264605501
GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),6892,1219640321,176964.64320951828
TAM LINHAS AÉREAS S.A.,8144,1445463066,177488.0974950884
