,hr_partida_real,nr_rpk,nr_ask
hr_partida_real,1.0,0.7826908981308054,0.16903085094570333
nr_rpk,0.7826908981308054,1.0,0.3429971702850177
nr_ask,0.16903085094570333,0.3429971702850177,1.0
