,hr_partida_real,nr_rpk,nr_ask
hr_partida_real,1.0,0.20570320484322127,0.04570745173382161
nr_rpk,0.20570320484322127,1.0,0.9819932287820209
nr_ask,0.04570745173382161,0.9819932287820209,1.0
