,nr_ask,nr_ask,nr_ask
,count,sum,mean
nm_empresa,,,
AZUL LINHAS AÉREAS BRASILEIRAS S/A,14943,2020426449,135208.89038345712
GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),6892,1385225282,200990.31950087057
TAM LINHAS AÉREAS S.A.,8144,2029668313,249222.533521611
